,open,close,high,low,volume
0,41.8,41.25,41.8,41.15,0
1,41.8,41.25,41.8,41.15,0
2,41.8,41.25,41.8,41.15,0
3,41.8,41.25,41.8,41.15,0
4,41.8,41.25,41.8,41.15,0
5,41.8,41.4,41.8,41.15,0
6,41.25,41.25,41.55,40.8,0
7,41.8,41.4,41.8,41.15,0
8,41.25,41.25,41.55,40.8,0
9,41.8,41.4,41.8,41.15,0
10,41.25,41.25,41.55,40.8,0
11,41.8,41.4,41.8,41.15,0
12,41.25,41.25,41.55,40.8,0
13,41.8,41.4,41.8,41.15,0
14,41.25,42.2,41.55,40.8,0
15,41.8,41.25,42.45,40.8,0
16,41.8,41.4,41.8,41.15,0
17,41.25,42.2,41.55,40.8,0
18,41.65,42.2,42.45,41.35,0
19,41.8,41.25,42.45,40.8,0
20,41.8,41.4,41.8,41.15,0
21,41.25,42.2,41.55,40.8,0
22,41.65,42.2,42.45,41.35,0
23,41.8,41.25,42.45,40.8,0
24,41.8,41.4,41.8,41.15,0
25,41.25,42.2,41.55,40.8,0
26,41.65,42.2,42.45,41.35,0
27,41.8,41.25,42.45,40.8,0
28,41.8,41.4,41.8,41.15,0
29,41.25,42.2,41.55,40.8,0
30,41.65,42.2,42.45,41.35,0
31,41.8,41.25,42.45,40.8,0
32,41.8,41.4,41.8,41.15,0
33,41.25,42.2,41.55,40.8,0
34,41.65,42.2,42.45,41.35,0
35,41.8,41.25,42.45,40.8,0
36,41.8,41.4,41.8,41.15,0
37,41.25,42.2,41.55,40.8,0
38,41.65,42.8,42.45,41.35,0
39,42.3,42.2,43.05,42.0,0
40,41.8,41.25,42.45,40.8,0
41,41.8,41.4,41.8,41.15,0
42,41.25,42.2,41.55,40.8,0
43,41.65,42.8,42.45,41.35,0
44,42.3,42.2,43.05,42.0,0
45,41.8,41.25,42.45,40.8,0
46,41.8,41.4,41.8,41.15,0
47,41.25,42.2,41.55,40.8,0
48,41.65,42.8,42.45,41.35,0
49,42.3,42.2,43.05,42.0,0
50,41.8,41.25,42.45,40.8,0
51,41.8,41.4,41.8,41.15,0
52,41.25,42.2,41.55,40.8,0
53,41.65,42.8,42.45,41.35,0
